CU	Tomato EST	A.t. Best	A.t.	        EST
T0308	TPRAB01TH	AL031135.1	4.1820000	cLER1A2
T0309	TPRAB10TH	AC004238.2	2.1930000	cLER1A20
T0311	TPRAC18TH	AC000106.1	1.0230000	cLER1D11
T0312	TPRAD20TH	AC003000.2	2.2150000	cLER1D16
T0313	TPRAC17TH	AF077407.1	5.0590000	cLER1D9
T0314	TPRAC29TH	AC004005.2	2.2380000	cLER1F9
T0318	TPRAG38TH	AF069298.1	4.0150000	cLER2H3
T0321	TPRAF90TH	AB023038.1	3.0280000	cLER2O12
T0328	TPSAF86TH	AC005168.2	2.1510000	cLES2O4
T0331	TPSAH48TH	AC003000.2	2.2150000	cLES2H24
T0332	TPSAF65TH	AB008265.1	5.2750000	cLES2K10
T0335	TPSAG65TH	AC005496.2	2.1680000	cLES2L9
T0337	TPSAL05TH	AL031018.1	4.1180000	cLES3B10
T0343	TPSAK42TH	AB015478.1	5.2020000	cLES3H11
T0347	TPSAL73TH	AC009755.5	3.0040000	cLES3N2
T0351	TPSAK92TH	AC004747.2	2.1470000	cLES3P15
T0360	TOVAX58TH	AL078637.1	4.1240000	cLED6J20
T0362	TSHAA51TH	AC007168.4	2.1270000	cLEB1I5
T0367	TSHAK51TH	AL035538.1	4.1910000	cLEB3J5
T0368	TSHAI70TH	AL035522.1	4.1790000	cLEB3K19
T0369	TSHAL67TV	Z97335.2	4.0840000	cLEB3L14
T0386	TOVAU45TH	AC006929.3	2.1580000	cLED6G17
T0393	TOVBB82TH	AC009325.6	3.0030000	cLED7N20
T0405	TOVCI09TH	AC007290.5	2.1540000	cLED16A17
T0408	TOVCK77TH	AC006551.6	1.0470000	cLED16N9
T0418	TOVCW45TH	AB022214.1	5.2220000	cLED19H17
T0420	TOVCW66TH	AL049730.2	4.0770000	cLED19L11
T0422	TOVDF02TH	AC006920.10	2.0910000	cLED21B4
T0423	TOVDC42TH	AC005966.1	1.1048000	cLED21G11
T0425	TOVDH09TH	AC006193.3	1.1250000	cLED22A18
T0427	TOVDJ69TH	AC006201.3	2.1060000	cLED22L18
T0429	TOVDM55TH	AL035601.1	4.1880000	cLED23J13
T0431	TOVDN76TH	AC003027.1	1.0070000	cLED23N8
T0443	TPRAC34TH	AC007109.6	2.1180000	cLER1F19
T0447	TPRAB92TH	AL035440.2	4.1370000	cLER1O16
T0456	TPRAE96TH	AC005287.4	1.0980000	cLER2O23
T0463	TPSAA16TH	AC069159.6	1.1005000	cLES1C7
T0482	TCAAZ08TH	AB017063.1	5.1950000	cLEC7A16
T0486	TCAAZ16TH	AC007354.2	1.0320000	cLEC7C8
T0487	TCABA19TH	AL049500.1	4.0730000	cLEC7D13
T0489	TCAAZ37TH	AC022472.2	1.0446200	cLEC7G2
T0492	TCABA46TH	AB025609.1	5.1670000	cLEC7H19
T0493	TCAAY49TH	AL031018.1	4.1180000	cLEC7I1
T0495	TCAAZ70TH	Z97343.1	4.0920000	cLEC7K20
T0500	TCABA76TH	AC004260.1	1.1460000	cLEC7N7
T0504	TCABD05TH	AC008263.2	1.1410000	cLEC8A10
T0506	TCABD41TH	AC004077.2	2.1910000	cLEC8G10
T0507	TCABD46TH	AB005237.1	5.0090000	cLEC8G20
T0508	TCABD52TH	AP002047.1	3.0173000	cLEC8I8
T0513	TCABD91TH	AC002505.2	2.1490000	cLEC8O14
T0518	TCABH65TH	AC007020.4	2.2190000	cLEC9K10
T0521	TCABI71TH	AB025639.1	3.0800000	cLEC9L21
T0522	TCABG78TH	AC009606.2	3.0100000	cLEC9M11
T0523	TCABG80TH	AL049488.1	4.0650000	cLEC9M15
T0524	TCABG82TH	AC007153.2	1.0150000	cLEC9M19
T0525	TCABG93TH	AB026636.1	3.0410000	cLEC9O17
T0526	TCABL02TH	AC009894.2	1.1000000	cLEC10A4
T0529	TCABM08TH	AC012563.5	1.1331000	cLEC10B15
T0531	TCABL17TH	AP000420.1	3.0960000	cLEC10C10
T0532	TCABK25TH	AC006919.5	2.2000000	cLEC10E1
T0534	TCABL29TH	AC012188.2	1.0375800	cLEC10E10
T0536	TCABK42TH	AB022215.1	3.0650000	cLEC10G11
T0538	TCABL47TH	AB023038.1	3.0280000	cLEC10G22
T0541	TCABL56TH	AL132957.1	3.1186000	cLEC10I16
T0543	TCABL70TH	AL050352.1	4.1520000	cLEC10K20
T0552	TCABP31TH	AL163912.1	5.0125000	cLEC11E14
T0554	TCABP46TH	AB015476.1	5.2120000	cLEC11G20
T0555	TCABP74TH	AC009327.6	3.0060000	cLEC11M4
T0556	TMEAA01TH	U93215.2	2.1730000	cLET1A1
T0560	TMEAA12THB	Z97339.2	4.0880000	cLET1A23
T0562	TMEAD05TH	AF149414.1	4.0310000	cLET1B10
T0564	TMEAC08TH	AB019230.1	3.0470000	cLET1B15
T0565	TMEAC09TH	AC002330.1	4.0160000	cLET1B17
T0566	TMEAC12TH	AF049236.1	3.1160000	cLET1B23
T0567	TMEAC13TH	AC005679.1	1.1498000	cLET1D1
T0568	TMEAD16TH	AC012328.4	3.0044000	cLET1D8
T0569	TMEAC17TH	AL079349.2	4.0790000	cLET1D9
T0570	TMEAC20TH	AC006836.6	2.0150000	cLET1D15
T0571	TMEAD21TH	AC008113.4	1.1330000	cLET1D18
T0572	TMEAD22TH	AL133292.3	3.1090500	cLET1D20
T0577	TMEAA34THB	AB010073.1	5.2640000	cLET1E19
T0579	TMEAC26TH	AB006706.1	5.0260000	cLET1F3
T0581	TMEAD34TH	AB017063.1	5.1950000	cLET1F20
T0585	TMEAA46THB	AC006416.2	1.0250000	cLET1G19
T0586	TMEAA47THB	AC008113.4	1.1330000	cLET1G21
T0590	TMEAC48TH	AC005312.2	2.0090000	cLET1H23
T0594	TMEAB56TH	AB007647.1	5.1340000	cLET1I16
T0595	TMEAA57THB	AC003674.2	2.2140000	cLET1I17
T0597	TMEAD58TH	Z97337.2	4.0860000	cLET1J20
T0603	TMEAD65TH	AC006264.3	2.1210000	cLET1L10
T0604	TMEAC66TH	AC008113.4	1.1330000	cLET1L11
T0606	TMEAA74TH	AF058919.2	4.0040000	cLET1M3
T0607	TMEAA76TH	AB025632.1	5.2480000	cLET1M7
T0608	TMEAB78TH	AB009050.1	5.2280000	cLET1M12
T0610	TMEAD73TH	Z97340.2	4.0890000	cLET1N2
T0612	TMEAA88TV	AL161831.1	4.0610000	cLET1O7
T0613	TMEAA91TV	AC002561.2	2.2290000	cLET1O13
T0615	TMEAC88TH	AL109796.1	4.1540000	cLET1P7
T0616	TMEAC89TH	AC005309.2	2.2550000	cLET1P9
T0618	TMEAE01TH	AC008007.7	1.0940000	cLET2A1
T0619	TMEAE03TH	AC006284.3	2.0140000	cLET2A5
T0620	TMEAE05TH	AC006438.3	2.0930000	cLET2A9
T0621	TMEAF09TH	AC007576.3	1.0375700	cLET2A18
T0624	TMEAG07TH	AB013394.1	5.1660000	cLET2B13
T0626	TMEAF18TH	AB024032.1	5.1870000	cLET2C12
T0628	TMEAH15TH	AC009325.6	3.0030000	cLET2D6
T0630	TMEAH22TH	AC005313.2	2.0130000	cLET2D20
T0632	TMEAE36TH	Z99707.1	4.1870000	cLET2E23
T0633	TMEAH25TH	AL049655.2	3.1190000	cLET2F2
T0634	TMEAG31TH	AB007645.1	5.3030000	cLET2F13
T0635	TMEAH31TH	AB006704.1	5.0190000	cLET2F14
T0637	TMEAE37TH	AF128393.1	4.0330000	cLET2G1
T0638	TMEAE41TH	AC002332.2	2.1870000	cLET2G9
T0639	TMEAE42TH	AC004557.2	1.0600000	cLET2G11
T0640	TMEAF47TH	AC006193.3	1.1250000	cLET2G22
T0641	TMEAE48TH	AL050399.1	4.0720000	cLET2G23
T0643	TMEAH44TH	AC011001.2	1.0181000	cLET2H16
T0644	TMEAG45TH	AC003000.2	2.2150000	cLET2H17
T0646	TMEAF51TH	AC002505.2	2.1490000	cLET2I6
T0648	TMEAG49TH	AB018109.1	5.1980000	cLET2J1
T0649	TMEAH49TH	AB025639.1	3.0800000	cLET2J2
T0650	TMEAG54TH	AC005275.1	4.0190000	cLET2J11
T0651	TMEAG55TH	AC007519.2	1.0867000	cLET2J13
T0652	TMEAE63TH	AC007591.2	1.0400000	cLET2K5
T0655	TMEAG67TH	AC006217.3	2.0410000	cLET2L13
T0656	TMEAG68TH	AB024035.1	5.2380000	cLET2L15
T0659	TMEAE73TH	AC005275.1	4.0190000	cLET2M1
T0660	TMEAE78TH	AC007127.6	2.1000000	cLET2M11
T0661	TMEAG78TH	AC006234.3	2.1200000	cLET2N11
T0662	TMEAH78TH	AC002561.2	2.2290000	cLET2N12
T0664	TMEAE90TH	AC009465.5	3.0080000	cLET2O11
T0668	TMEAG89TH	AL035396.1	4.1280000	cLET2P9
T0671	TMEAH96TH	AB023041.1	3.0820000	cLET2P24
T0672	TMEAI01TH	AL021768.1	4.1020000	cLET3A1
T0674	TMEAI07TH	AC006420.3	2.0360000	cLET3A13
T0675	TMEAI08TH	AC010704.4	1.1480000	cLET3A15
T0676	TMEAI14TH	AC013483.5	3.0121000	cLET3C3
T0677	TMEAI18TH	AL021960.2	4.1090000	cLET3C11
T0680	TMEAI25TH	AC003033.2	2.1850000	cLET3E1
T0683	TMEAI38TH	AL110123.1	4.0950000	cLET3G3
T0685	TMEAI51TH	AL023094.2	4.1760000	cLET3I5
T0687	TMECX02TH	AL096859.2	3.1090000	cLET19B4
T0688	TMECX36TH	AC005916.2	1.0610000	cLET19F24
T0693	TMECX76TH	AB006707.1	5.1240000	cLET19N8
T0694	TMECX83TH	AL049640.1	4.0780000	cLET19N22
T0696	TMECX93TH	AC002130.2	1.1300000	cLET19P18
T0697	TMECW96TV	AC007654.2	1.0650000	cLET19P23
T0700	TMEDB01TH	AB023036.1	3.0710000	cLET20B2
T0702	TMEDA10TH	AC007234.3	1.1268000	cLET20B19
T0703	TMECZ14TH	AC006569.4	2.1170000	cLET20C4
T0705	TMEDB24TH	AC002335.2	2.2360000	cLET20D24
T0706	TMEDA25TH	AL035601.1	4.1880000	cLET20F1
T0707	TMEDA27TH	AB026636.1	3.0410000	cLET20F5
T0708	TMEDB35TH	AC004401.2	2.1320000	cLET20F22
T0710	TMEDA41TH	AB016885.1	5.2500000	cLET20H9
T0712	TMEDA43TH	AB024036.1	3.0580000	cLET20H13
T0714	TMEDB50TH	AC006224.3	2.2340000	cLET20J4
T0716	TMEDA59TH	AL022140.1	4.1140000	cLET20J21
T0718	TMECZ67TH	AC006585.7	2.1410000	cLET20K14
T0719	TMECZ69TH	AC008263.2	1.1410000	cLET20K18
T0720	TMEDB61TH	AC004484.2	2.1480000	cLET20L2
T0721	TMEDA63TH	AB008266.1	5.2810000	cLET20L5
T0722	TMEDB63TH	AC005287.4	1.0980000	cLET20L6
T0723	TMEDA64TH	AC006955.5	2.0230000	cLET20L7
T0724	TMEDA65TH	AC002986.1	1.1499000	cLET20L9
T0725	TMEDB70TH	AC007168.4	2.1270000	cLET20L20
T0727	TMEDA73TH	AB008266.1	5.2810000	cLET20N1
T0728	TMEDB73TH	AB006708.1	5.0370000	cLET20N2
T0729	TMEDA81TH	AL353994.1	5.0159000	cLET20N17
T0730	TMECZ94TH	AC007067.4	1.0300000	cLET20O20
T0731	TMEDB87TH	AC002328.2	1.0997500	cLET20P6
T0732	TMEDC14TH	AC006223.3	2.1810000	cLET21C3
T0735	TMEDF35TH	AB005238.1	5.0250000	cLET21F22
T0736	TMEDF36TH	AP000420.1	3.0960000	cLET21F24
T0737	TMEDF37TH	AB008268.1	5.2820000	cLET21H2
T0739	TMEDC49TH	AC006434.5	1.1414000	cLET21I1
T0740	TMEDC50TH	AL031986.1	4.1830000	cLET21I3
T0741	TMEDC55TH	AB025631.1	3.0560000	cLET21I13
T0743	TMEDF54TH	AC002561.2	2.2290000	cLET21J12
T0744	TMEDF62TH	AB005239.1	5.1460000	cLET21L4
T0750	TMEAL07TH	AB012245.1	5.1570000	cLET3B14
T0751	TMEAL10TH	AC005724.2	2.1100000	cLET3B20
T0753	TMEAL17TH	AB019226.1	5.2040000	cLET3D10
T0758	TMEAL40TH	AF007269.1	4.0080000	cLET3H8
T0759	TMEAL42TH	AL031986.1	4.1830000	cLET3H12
T0760	TMEAL43TH	AC006424.5	1.0720000	cLET3H14
T0761	TMEAI59TH	AC010924.2	1.0430000	cLET3I21
T0762	TMEAL49TH	AC006220.3	2.0280000	cLET3J2
T0763	TMEAL54TH	AC006193.3	1.1250000	cLET3J12
T0765	TMEAL57TH	AC008153.3	3.0160000	cLET3J18
T0766	TMEAI63TH	Z97339.2	4.0880000	cLET3K5
T0767	TMEAI65TH	AF007269.1	4.0080000	cLET3K9
T0769	TMEAI68TH	AC007915.3	1.0860000	cLET3K15
T0770	TMEAI70TH	AC002376.1	1.0100000	cLET3K19
T0772	TMEAL70TH	AL049659.2	3.1140000	cLET3L20
T0774	TMEAI76TH	AC009991.3	3.0150000	cLET3M7
T0776	TMEAI79TH	AL049488.1	4.0650000	cLET3M13
T0778	TMEAL73TH	AC007576.3	1.0375700	cLET3N2
T0780	TMEAL80TH	AB010695.1	5.2180000	cLET3N16
T0781	TMEAL82TH	AB006708.1	5.0370000	cLET3N20
T0784	TMEAI86TH	AC002131.1	1.0370000	cLET3O3
T0787	TMEAK92TH	AC005990.1	1.0530000	cLET3P15
T0791	TMEBB13TH	AL080318.1	4.0760000	cLET7D2
T0792	TMEBB18TH	AB023044.1	5.1960000	cLET7D12
T0794	TMEBA22TH	AB018121.1	3.1000000	cLET7D19
T0796	TMEAZ34TH	AC011717.4	1.1541000	cLET7E20
T0798	TMEBB27TH	AB010068.1	5.0490000	cLET7F6
T0800	TMEBA32TH	AC007209.5	2.0750000	cLET7F15
T0801	TMEAZ44TH	AC025781.6	1.0771000	cLET7G16
T0802	TMEBA37TH	AC012654.2	1.1395000	cLET7H1
T0803	TMEAZ57TH	AL049525.1	4.0690000	cLET7I18
T0804	TMEBA53TH	AB026637.1	5.1940000	cLET7J9
T0805	TMEBA54TH	AL021811.1	4.1640000	cLET7J11
T0806	TMEBB59TH	AL035525.1	4.1700000	cLET7J22
T0809	TMEBA63TH	AF069299.1	4.0020000	cLET7L5
T0810	TMEBA69TH	AC007651.2	1.0442000	cLET7L17
T0814	TMEBB75TH	AC000098.1	1.0130000	cLET7N6
T0819	TMEAZ88TH	AC005679.1	1.1498000	cLET7O8
T0821	TMEBA91TH	AB026654.1	3.0520000	cLET7P13
T0822	TMEBD09TH	AC003974.2	2.1840000	cLET8A18
T0824	TMEBC16TH	AC002505.2	2.1490000	cLET8C7
T0825	TMEBC18TH	AC004561.2	2.1670000	cLET8C11
T0827	TMEBC24TH	AL049711.3	3.1170000	cLET8C23
T0829	TMEBC27TH	AB006697.1	5.0150000	cLET8E5
T0830	TMEBD28TH	AC005936.2	2.0080000	cLET8E8
T0832	TMEBD33TH	AC006248.3	2.0920000	cLET8E18
T0834	TMEBE33TH	AB026651.1	5.1430000	cLET8F17
T0837	TMEBC37TH	AC002340.2	2.1740000	cLET8G1
T0844	TMEBC60TH	AC007592.4	1.0180000	cLET8I23
T0846	TMEBC63TH	AL022198.1	4.1570000	cLET8K5
T0847	TMEBD63TH	AB022223.1	3.0660000	cLET8K6
T0848	TMEBC67TH	AC013483.5	3.0121000	cLET8K13
T0852	TMEBC71TH	AB010697.1	5.0120000	cLET8K21
T0853	TMEBD72TH	AB010695.1	5.2180000	cLET8K24
T0855	TMEBC86TH	AL162459.2	3.1086000	cLET8O3
T0857	TMEBC89TH	AC020889.3	1.0879000	cLET8O9
T0861	TMEAM12TH	AC007797.7	1.0446000	cLET4A23
T0862	TMEAM14TH	AC007071.6	2.1790000	cLET4C3
T0863	TMEAM20TH	AC006922.6	2.2020000	cLET4C15
T0864	TMEAO15TH	AC006228.4	1.0770000	cLET4D5
T0868	TMEAO23TH	AC010155.3	1.0615000	cLET4D21
T0869	TMEAO32TH	AC008261.3	3.0010000	cLET4F15
T0870	TMEAO35TH	AB026657.1	3.1010000	cLET4F21
T0871	TMEAM37TH	AC007178.5	2.0180000	cLET4G1
T0872	TMEAM44TH	AC010796.5	1.1380000	cLET4G15
T0876	TMEAO48TH	AC002986.1	1.1499000	cLET4H23
T0877	TMEAM49TH	AC022314.5	1.0854000	cLET4I1
T0878	TMEAM55TH	AC005395.2	2.1460000	cLET4I13
T0879	TMEAM58TH	AB024035.1	5.2380000	cLET4I19
T0880	TMEAO55TH	AC006921.5	2.1990000	cLET4J13
T0882	TMEAM70TH	AC004005.2	2.2380000	cLET4K19
T0883	TMEAO63TH	AC009526.4	1.0840000	cLET4L5
T0888	TMEAO82TH	AC004401.2	2.1320000	cLET4N19
T0890	TMEAO94TH	AC007197.5	2.0810000	cLET4P19
T0891	TMEAO95TH	AB016886.1	5.1710000	cLET4P21
T0892	TMEAW49TH	AL163972.1	3.1196200	cLET6J1
T0893	TMEAW73TH	AB007646.1	5.2790000	cLET6N1
T0894	TMEAP60TH	AF002109.2	2.2160000	cLET4J24
T0896	TMEAP71TH	AL031394.1	4.1720000	cLET4L22
T0897	TMEAP81TH	AL035521.1	4.1750000	cLET4N18
T0902	TMEAU18TH	AL021961.2	4.1740000	cLET6C11
T0903	TMEAT11TH	AB019232.1	3.0620000	cLET5B22
T0904	TMEAT12TH	AL031986.1	4.1830000	cLET5B24
T0909	TMEAQ22TH	AC006932.8	1.0210000	cLET5C19
T0922	TMEAQ42TH	AC002332.2	2.1870000	cLET5G11
T0924	TMEAQ43TH	AL035708.2	4.1980100	cLET5G13
T0929	TMEAS42TH	Z97341.2	4.0900000	cLET5H11
T0936	TMEAT58TH	AC016529.5	1.1398000	cLET5J20
T0937	TMEAT59TH	AB005246.1	5.2600000	cLET5J22
T0942	TMEAQ78TH	AB017071.1	3.0330000	cLET5M11
T0943	TMEAQ79TH	AB020755.1	5.2490000	cLET5M13
T0944	TMEAQ81TH	AL035524.1	4.1430000	cLET5M17
T0945	TMEAR83TH	AC003113.2	1.1160000	cLET5M22
T0947	TMEAQ76TH	AC003105.2	2.1500000	cLET5M7
T0950	TMEAQ86TH	AB013389.1	5.2970000	cLET5O3
T0951	TMEAR88TH	AC005824.2	2.1570000	cLET5O8
T0953	TMEAV18TH	AB017069.1	5.0930000	cLET6C12
T0954	TMEAV13TH	AC005662.2	2.2240000	cLET6C2
T0955	TMEAU23TH	AC002409.2	2.2220000	cLET6C21
T0957	TMEAV32TH	AL049746.1	3.1110000	cLET6E16
T0958	TMEAU34TH	AB010077.1	5.1130000	cLET6E19
T0962	TMEAU29TH	AC012563.5	1.1331000	cLET6E9
T0963	TMEAW34TH	AB025604.1	5.2530000	cLET6F19
T0964	TMEAW27TH	AB006697.1	5.0150000	cLET6F5
T0965	TMEAU44TH	AC009513.2	1.1270000	cLET6G15
T0966	TMEAV47TH	AB024036.1	3.0580000	cLET6G22
T0969	TMEAU50TH	AB015473.1	5.0280000	cLET6I3
T0971	TMEAV52TH	AF002109.2	2.2160000	cLET6I8
T0974	TMEAV63TH	AC007508.2	1.0615500	cLET6K6
T0976	TMEAU79TH	AL035526.1	4.0980000	cLET6M13
T0979	TMEAU85TH	AC006232.3	2.1560000	cLET6O1
T0982	TMEAZ15TH	AC007591.2	1.0400000	cLET7C6
T0984	TMEAZ28TH	AC007060.2	1.0642000	cLET7E8
T0985	TMEAY84TH	AC007354.2	1.0320000	cLET7M23
T0989	TMGAC96THB	AC007323.5	1.0010000	cLEF1P23
T0991	TMGAE86TH	AF128396.1	4.0560000	cLEF2O3
T0996	TMGBY67TH	AC000106.1	1.0230000	cLEF13L13
T0997	TMGBY89TH	AC007017.3	2.1970000	cLEF13P9
T0998	TMGBZ28TH	AC006200.2	2.0020000	cLEF13F8
T1000	TMGFO90TH	AB019228.1	5.2470000	cLEF37O11
T1001	TRXAE23TH	AC021043.4	1.0616000	cLEX2C21
T1003	TRXAG03TH	AP000371.1	3.0920000	cLEX2B5
T1006	TRXAM55TH	AC006248.3	2.0920000	cLEX4I13
T1007	TRXAM63TH	AC009400.2	3.0140000	cLEX4K5
T1012	TRXAU74TV	AC009400.2	3.0140000	cLEX6M3
T1013	TRXAW10TH	AB007651.1	5.0300000	cLEX6B19
T1014	TRXAX10TH	AL021960.2	4.1090000	cLEX6B20
T1017	TRXBN43TH	AC007519.2	1.0867000	cLEX10H14
T1023	TRXBQ81TH	AF001308.1	4.0130000	cLEX11N17
T1024	TRXBS68TH	AC011765.4	1.1407000	cLEX12K15
T1025	TRXBT63TH	AC005662.2	2.2240000	cLEX12K6
T1027	TRXBT80TH	AB016888.1	5.1310000	cLEX12M16
T1029	TRXBV45TH	AC005623.2	2.1520000	cLEX12H18
T1030	TRXBW35TH	AC006931.5	2.2320000	cLEX13E21
T1038	TRXCA50TH	AC007296.2	1.0360000	cLEX14I3
T1039	TRXCA53TH	AL080283.1	4.1600000	cLEX14I9
T1040	TRXCB15TH	AC009398.6	1.0310000	cLEX14C6
T1042	TRXCG11TH	AP002043.1	3.1063500	cLEX15B21
T1044	TFBAA01THB	AC006068.3	2.1960000	cTOB1A1
T1045	TFBAA06TH	AL078467.1	4.1400000	cTOB1A11
T1046	TFBAA11TH	AC005623.2	2.1520000	cTOB1A21
T1047	TFBAA12THB	AB019232.1	3.0620000	cTOB1A23
T1048	TFBAA15THB	AC005275.1	4.0190000	cTOB1C5
T1049	TFBAA21THB	AB025629.1	3.0600000	cTOB1C17
T1050	TFBAA25THC	AC010871.5	3.0123000	cTOB1E1
T1051	TFBAA28THC	AB010076.1	5.2840000	cTOB1E7
T1052	TFBAA29THC	AC006403.3	2.1380000	cTOB1E9
T1053	TFBAA41THB	AC004809.1	1.0110000	cTOB1G9
T1054	TFBAA51THB	AL050400.1	4.1310000	cTOB1I5
T1055	TFBAA59THB	AC013258.3	1.1411000	cTOB1I21
T1057	TFBAA65THB	AC008113.4	1.1330000	cTOB1K9
T1062	TFBAA80THB	AC008113.4	1.1330000	cTOB1M15
T1063	TFBAN19TH	AL021636.3	4.1630000	cTOB4C14
T1064	TFBAN25TH	AB016880.1	5.2690000	cTOB4E2
T1065	TFBAN38TH	AB026636.1	3.0410000	cTOB4G4
T1066	TFBAN39TH	AC002335.2	2.2360000	cTOB4G6
T1067	TFBAN43TH	AC073178.6	1.1351500	cTOB4G14
T1068	TFBAN45TH	AC007019.4	2.1250000	cTOB4G18
T1070	TFBAN53TH	AC013483.5	3.0121000	cTOB4I10
T1071	TFBAN60TH	AB005243.1	5.0350000	cTOB4I24
T1072	TFBAN61TH	AL133363.1	3.1149000	cTOB4K2
T1073	TFBAN62TH	AL132959.1	3.2600000	cTOB4K4
T1074	TFBAN69TH	AC021043.4	1.0616000	cTOB4K18
T1076	TFBAN87TH	AC009755.5	3.0040000	cTOB4O6
T1077	TFBAN94TH	AC005850.1	1.1120000	cTOB4O20
T1078	TFBAT03TH	Z99708.1	4.1860000	cTOB5B6
T1079	TFBAT16TH	AB016884.1	5.0470000	cTOB5D8
T1082	TFBAT44TH	AC007727.2	1.0460000	cTOB5H16
T1084	TFBAT50TH	AB023042.1	5.2390000	cTOB5J4
T1086	TFBAT58TH	AC007584.3	2.1020000	cTOB5J20
T1087	TFBAT68TH	AC006223.3	2.1810000	cTOB5L16
T1088	TFBAT84TH	AB013396.1	5.2440000	cTOB5N24
T1089	TFBAT90TH	AB024028.1	3.0890000	cTOB5P12
T1090	TFBAT96TH	AB024034.1	3.0220000	cTOB5P24
T1091	TFBAU01THC	AC003680.2	2.2440000	cTOB6A1
T1092	TFBAU09THC	AB007647.1	5.1340000	cTOB6A17
T1093	TFBAU10THC	AL078467.1	4.1400000	cTOB6A19
T1094	TFBAU15THC	AL050300.2	3.1180000	cTOB6C5
T1095	TFBAU19THC	AL132968.1	3.1150900	cTOB6C13
T1096	TFBAU20THC	AB011477.1	5.1200000	cTOB6C15
T1098	TFBAU38THC	AC002333.2	2.2370000	cTOB6G3
