CU	Tomato EST	A.t. Best	A.t.	EST
T0577	TMEAA34THB	AB010073	5.264	cLET01E19
T0579	TMEAC26TH	AB006706	5.026	cLET01F03
T0581	TMEAD34TH	AB017063	5.195	cLET01F20
T0585	TMEAA46THB	AC006416	1.025	cLET01G19
T0586	TMEAA47THB	AC008113	1.133	cLET01G21
T0590	TMEAC48TH	AC005312	2.009	cLET01H23
T0594	TMEAB56TH	AB007647	5.134	cLET01I16
T0595	TMEAA57THB	AC003674	2.214	cLET01I17
T0597	TMEAD58TH	Z97337	4.086	cLET01J20
T0603	TMEAD65TH	AC006264	2.121	cLET01L10
T0604	TMEAC66TH	AC008113	1.133	cLET01L11
T0606	TMEAA74TH	AF058919	4.004	cLET01M03
T0607	TMEAA76TH	AB025632	5.248	cLET01M07
T0608	TMEAB78TH	AB009050	5.228	cLET01M12
T0610	TMEAD73TH	Z97340	4.089	cLET01N02
T0612	TMEAA88TV	AL161831	4.061	cLET01O07
T0613	TMEAA91TV	AC002561	2.229	cLET01O13
T0615	TMEAC88TH	AL109796	4.154	cLET01P07
T0616	TMEAC89TH	AC005309	2.255	cLET01P09
T0618	TMEAE01TH	AC008007	1.094	cLET02A01
T0619	TMEAE03TH	AC006284	2.014	cLET02A05
T0620	TMEAE05TH	AC006438	2.093	cLET02A09
T0621	TMEAF09TH	AC007576	1.03757	cLET02A18
T0624	TMEAG07TH	AB013394	5.166	cLET02B13
T0626	TMEAF18TH	AB024032	5.187	cLET02C12
T0628	TMEAH15TH	AC009325	3.003	cLET02D06
T0630	TMEAH22TH	AC005313	2.013	cLET02D20
T0632	TMEAE36TH	Z99707	4.187	cLET02E23
T0633	TMEAH25TH	AL049655	3.119	cLET02F02
T0634	TMEAG31TH	AB007645	5.303	cLET02F13
T0635	TMEAH31TH	AL391710	5.0186	cLET02F14
T0637	TMEAE37TH	AF128393	4.033	cLET02G01
T0638	TMEAE41TH	AC002332	2.187	cLET02G09
T0639	TMEAE42TH	AC004557	1.06	cLET02G11
T0640	TMEAF47TH	AC006193	1.125	cLET02G22
T0641	TMEAE48TH	AL050399	4.072	cLET02G23
T0643	TMEAH44TH	AC007592	1.018	cLET02H16
T0644	TMEAG45TH	AC003000	2.15	cLET02H17
T0646	TMEAF51TH	AC002505	2.149	cLET02I06
T0648	TMEAG49TH	AB018109	5.198	cLET02J01
T0649	TMEAH49TH	AB025639	3.08	cLET02J02
T0650	TMEAG54TH	AC005275	4.019	cLET02J11
T0651	TMEAG55TH	AC007519	1.0867	cLET02J13
T0652	TMEAE63TH	AC007591	1.04	cLET02K05
T0655	TMEAG67TH	AC006217	2.041	cLET02L13
T0656	TMEAG68TH	AB024035	5.238	cLET02L15
T0659	TMEAE73TH	AC005275	4.019	cLET02M01
T0660	TMEAE78TH	AC007127	2.1	cLET02M11
T0661	TMEAG78TH 	AC006234	2.12	cLET02N11
T0662	TMEAH78TH	AC002561	2.229	cLET02N12
T0664	TMEAE90TH	AC009465	3.008	cLET02O11
T0668	TMEAG89TH	AL035523/AL035396	4.127	cLET02P09
T0671	TMEAH96TH	AB023041	3.082	cLET02P24
T0672	TMEAI01TH	AL021768	4.102	cLET03A01
T0674	TMEAI07TH	AC006420	2.036	cLET03A13
T0675	TMEAI08TH	AC010704	1.148	cLET03A15
T0676	TMEAI14TH	AC013483	3.0121	cLET03C03
T0677	TMEAI18TH	AL021960	4.109	cLET03C11
T0680	TMEAI25TH	AC003033	2.185	cLET03E01
T0683	TMEAI38TH	AL110123	4.095	cLET03G03
T0685	TMEAI51TH	AL023094	4.176	cLET03I05
T0687	TMECX02TH	AL096859	3.109	cLET19B04
T0688	TMECX36TH	AC005916	1.061	cLET19F24
T0693	TMECX76TH	AB006707	5.124	cLET19N08
T0694	TMECX83TH	AL049640	4.078	cLET19N22
T0696	TMECX93TH	AC002130	1.13	cLET19P18
T0697	TMECW96TV	AC007654	1.065	cLET19P23
T0700	TMEDB01TH	AB023036	3.071	cLET20B02
T0702	TMEDA10TH	AC007234	1.1268	cLET20B19
T0703	TMECZ14TH	AC006569	2.117	cLET20C04
T0705	TMEDB24TH	AC002335	2.236	cLET20D24
T0706	TMEDA25TH	AL035601/AL035605	4.188	cLET20F01
T0707	TMEDA27TH	AB026636	3.041	cLET20F05
T0708	TMEDB35TH	AC004401	2.132	cLET20F22
T0710	TMEDA41TH	AB016885	5.25	cLET20H09
T0712	TMEDA43TH	AB024036	3.058	cLET20H13
T0714	TMEDB50TH	AC006224	2.234	cLET20J04
T0716	TMEDA59TH	AL022140	4.114	cLET20J21
T0718	TMECZ67TH	AC006585	2.141	cLET20K14
T0719	TMECZ69TH	AC008263	1.14	cLET20K18
T0720	TMEDB61TH	AC004484	2.148	cLET20L02
T0721	TMEDA63TH	AB008266	5.281	cLET20L05
T0722	TMEDB63TH	AC005287	1.098	cLET20L06
T0723	TMEDA64TH	AC006955	2.023	cLET20L07
T0724	TMEDA65TH	AC002986	1.1499	cLET20L09
T0725	TMEDB70TH	AC007168	2.127	cLET20L20
T0727	TMEDA73TH	AB008266	5.281	cLET20N01
T0728	TMEDB73TH	AB006708	5.037	cLET20N02
T0729	TMEDA81TH	AB020752	5.016	cLET20N17
T0730	TMECZ94TH	AC007067	1.03	cLET20O20
T0731	TMEDB87TH	AC002328	1.09975	cLET20P06
T0732	TMEDC14TH	AC006223	2.181	cLET21C03
T0735	TMEDF35TH	AB005238	5.025	cLET21F22
T0736	TMEDF36TH	AP000420	3.096	cLET21F24
T0737	TMEDF37TH	AB008268	5.282	cLET21H02
T0739	TMEDC49TH	AC006434	1.1414	cLET21I01
T0740	TMEDC50TH	AL031986/AL031135	4.183	cLET21I03
T0741	TMEDC55TH	AB025631	3.056	cLET21I13
T0743	TMEDF54TH	AC002561	2.229	cLET21J12
T0744	TMEDF62TH	AB005239	5.146	cLET21L04
T0750	TMEAL07TH	AB012245	5.157	cLET03B14
T0751	TMEAL10TH	AC005724	2.11	cLET03B20
T0753	TMEAL17TH	AB019226	5.204	cLET03D10
T0758	TMEAL40TH	AF007269	4.008	cLET03H08
T0759	TMEAL42TH	AL031986/AL031135	4.183	cLET03H12
T0760	TMEAL43TH	AC006424	1.072	cLET03H14
T0761	TMEAI59TH	AC010924	1.043	cLET03I21
T0762	TMEAL49TH	AC006220	2.028	cLET03J02
T0763	TMEAL54TH	AC006193	1.125	cLET03J12
T0765	TMEAL57TH	AC008153	3.016	cLET03J18
T0766	TMEAI63TH	Z97339	4.088	cLET03K05
T0767	TMEAI65TH	AF007269	4.008	cLET03K09
T0769	TMEAI68TH	AC007915	1.086	cLET03K15
T0770	TMEAI70TH	AC002376	1.01	cLET03K19
T0772	TMEAL70TH	AL049659	3.114	cLET03L20
T0774	TMEAI76TH	AC009991	3.015	cLET03M07
T0776	TMEAI79TH	AL049488	4.065	cLET03M13
T0778	TMEAL73TH	AC068197	1.03751	cLET03N02
T0780	TMEAL80TH	AB010695	5.218	cLET03N16
T0781	TMEAL82TH	AB006708	5.037	cLET03N20
T0784	TMEAI86TH	AC002131	1.037	cLET03O03
T0787	TMEAK92TH	AC005990	1.053	cLET03P15
T0791	TMEBB13TH	AL080318	4.076	cLET07D02
T0792	TMEBB18TH	AB023044	5.196	cLET07D12
T0794	TMEBA22TH	AB018121	3.1	cLET07D19
T0796	TMEAZ34TH	AC011717	1.1541	cLET07E20
T0798	TMEBB27TH	AB010068	5.049	cLET07F06
T0800	TMEBA32TH	AC007209	2.075	cLET07F15
T0801	TMEAZ44TH	AC025781	1.0771	cLET07G16
T0802	TMEBA37TH	AC012654	1.1395	cLET07H01
T0803	TMEAZ57TH	AL049525	4.069	cLET07I18
T0804	TMEBA53TH	AB026637	5.194	cLET07J09
T0805	TMEBA54TH	AL021811	4.164	cLET07J11
T0806	TMEBB59TH	AL035525	4.17	cLET07J22
T0808	TMEAZ68TH	AC013483	3.0121	cLET07K16
T0809	TMEBA63TH	AF069299	4.002	cLET07L05
T0810	TMEBA69TH	AC007651	1.0442	cLET07L17
T0814	TMEBB75TH	AC000098	1.013	cLET07N06
T0819	TMEAZ88TH	AC005679	1.1498	cLET07O08
T0821	TMEBA91TH	AB026654	3.052	cLET07P13
T0822	TMEBD09TH	AC003974	2.184	cLET08A18
T0824	TMEBC16TH	AC002505	2.149	cLET08C07
T0825	TMEBC18TH	AC004561	2.167	cLET08C11
T0827	TMEBC24TH	AL049711	3.117	cLET08C23
T0829	TMEBC27TH	AB006697	5.015	cLET08E05
T0830	TMEBD28TH	AC005936	2.008	cLET08E08
T0832	 TMEBD33TH	AC006248	2.092	cLET08E18
T0834	TMEBE33TH	AB026651	5.143	cLET08F17
T0837	TMEBC37TH	AC002340	2.174	cLET08G01
T0844	TMEBC60TH	AC007592	1.018	cLET08I23
T0846	TMEBC63TH	AL022198	4.157	cLET08K05
T0847	TMEBD63TH	AB022223	3.066	cLET08K06
T0848	TMEBC67TH	AC013483	3.0121	cLET08K13
T0852	TMEBC71TH	AB010697	5.012	cLET08K21
T0853	TMEBD72TH	AB010695	5.218	cLET08K24
T0855	 TMEBC86TH	AL162459	3.1086	cLET08O03
T0857	TMEBC89TH	AC020889	1.0879	cLET08O09
T0859	TMEBD94TH	AC006200	2.002	cLET08O20
T0861	TMEAM12TH	AC007797	1.0446	cLET04A23
T0862	TMEAM14TH	AC007071	2.179	cLET04C03
T0863	TMEAM20TH	AC006922	2.202	cLET04C15
T0864	TMEAO15TH	AC006228	1.077	cLET04D05
T0868	TMEAO23TH	AC010155	1.0615	cLET04D21
T0869	TMEAO32TH	AC008261	3.001	cLET04F15
T0870	TMEAO35TH	AB026657	3.101	cLET04F21
T0871	TMEAM37TH	AC007178	2.018	cLET04G01
T0872	TMEAM44TH	AC010796	1.138	cLET04G15
T0876	TMEAO48TH	AC002986	1.1499	cLET04H23
T0877	TMEAM49TH	AC022314	1.0854	cLET04I01
T0878	TMEAM55TH	AC005395	2.146	cLET04I13
T0879	TMEAM58TH	AB024035	5.238	cLET04I19
T0880	TMEAO55TH	AC006921	2.199	cLET04J13
T0882	TMEAM70TH	AC004005	2.238	cLET04K19
T0883	TMEAO63TH	AC009526	1.084	cLET04L05
T0888	TMEAO82TH	AC004401	2.132	cLET04N19
T0890	TMEAO94TH	AC007197	2.081	cLET04P19
T0891	TMEAO95TH	AB016886	5.171	cLET04P21
T0892	TMEAW49TH	AL163972	3.11962	cLET06J01
T0893	TMEAW73TH	AB007646	5.279	cLET06N01
T0894	TMEAP60TH	AF002109	2.216	cLET04J24
T0896	TMEAP71TH	AL031394	4.172	cLET04L22
T0897	TMEAP81TH	AL035521	4.175	cLET04N18
T0902	TMEAU18TH	AL021961	4.174	cLET06C11
T0903	TMEAT11TH	AB019232	3.062	cLET05B22
T0904	TMEAT12TH	AL031986	4.183	cLET05B24
T0909	TMEAQ22TH	AC006932	1.021	cLET05C19
T0922	TMEAQ42TH	AC002332	2.187	cLET05G11
T0924	TMEAQ43TH	AL035708	4.19801	cLET05G13
T0929	TMEAS42TH	Z97341	4.09	cLET05H11
T0936	TMEAT58TH	AC016529	1.1398	cLET05J20
T0937	TMEAT59TH	AB005246	5.26	cLET05J22
T0942	TMEAQ78TH	AB017071	3.033	cLET05M11
T0943	TMEAQ79TH	AB020755	5.249	cLET05M13
T0944	TMEAQ81TH	AL035524	4.143	cLET05M17
T0945	TMEAR83TH	AC003113	1.116	cLET05M22
T0947	TMEAQ76TH	AC003105	2.15	cLET05M07
T0950	TMEAQ86TH	AB013389	5.297	cLET05O03
T0951	TMEAR88TH	AC005824	2.157	cLET05O08
T0953	 TMEAV18TH	AB017069	5.093	cLET06C12
T0954	TMEAV13TH	AC005662	2.224	cLET06C02
T0955	TMEAU23TH	AC002409	2.222	cLET06C21
T0957	TMEAV32TH	AL049746	3.111	cLET06E16
T0958	TMEAU34TH	AB010077	5.113	cLET06E19
T0962	TMEAU29TH	AC012563	1.1331	cLET06E09
T0963	TMEAW34TH	AB025604	5.253	cLET06F19
T0964	TMEAW27TH	AB006697	5.015	cLET06F05
T0965	TMEAU44TH	AC009513	1.127	cLET06G15
T0966	TMEAV47TH	AB024036	3.058	cLET06G22
T0969	TMEAU50TH	AB015473	5.028	cLET06I03
T0971	TMEAV52TH	AF002109	2.216	cLET06I08
T0974	TMEAV63TH	AC007508	1.06155	cLET06K06
T0976	TMEAU79TH	AL035526	4.098	cLET06M13
T0979	TMEAU85TH	AC006232	2.156	cLET06O01
T0982	TMEAZ15TH	AC007591	1.04	cLET07C06
T0984	TMEAZ28TH	AC007060	1.0642	cLET07E08
T0985	 TMEAY84TH	AC007354	1.032	cLET07M23
T0989	TMGAC96THB	AC007323 	1.001	cLEF 1P23
T0991	TMGAE86TH	AF128396	4.056	cLEAF203
T0996	TMGBY67TH	AC000106	1.023	cLEF13L13
T0997	TMGBY89TH	AC007017	2.197	cLEF13P9
T0998	TMGBZ28TH	AC006200	2.002	cLEF13F8
T1000	TMGFO90TH	AB019228	5.247	cLEF37011
T1001	TRXAE23TH	AC021043	1.0616	cLEX2C21
T1003	TRXAG03TH	AP000371	3.092	cLEX2B5
T1006	TRXAM55TH	AC006248	2.092	cLEX4I13
T1007	TRXAM63TH	AC009400	3.014	cLEX4K5
T1012	TRXAU74TV	AC009400	3.014	cLEX6M3
T1013	TRXAW10TH	AB007651	5.03	cLEX6B19
T1014	TRXAX10TH	AL021960	4.109	cLEX6B20
T1017	TRXBN43TH	AC007519	1.0867	cLEX10H14
T1023	TRXBQ81TH	AF001308	4.013	cLEX11N17
T1024	TRXBS68TH	AC011765	1.1407	cLEX12K15
T1025	TRXBT63TH	AC005662	2.224	cLEX12K6
T1027	TRXBT80TH	AB016888	5.131	cLEX12M16
T1029	TRXBV45TH	AC005623	2.152	cLEX12H18
T1030	TRXBW35TH	AC006931	2.232	cLEX13E22
T1038	TRXCA50TH	AC007296	1.036	cLEX14I3
T1039	TRXCA53TH	AL080283	4.16	cLEX14I9
T1040	TRXCB15TH	AC009398	1.031	cLEX14C6
T1042	TRXCG11TH	AP002043	3.10635	cLEX15B21
T1044	TFBAA01THB	AC006068	2.196	cTOB1A1  
T1045	TFBAA06TH	AL078467	4.14	cTOB1A11 
T1046	TFBAA11TH	AC005623	2.152	cTOB1A21 
T1047	TFBAA12THB	AB019232	3.062	cTOB1A23 
T1048	TFBAA15THB	AC005275	4.019	cTOB1C5  
T1049	TFBAA21THB	AB025629	3.06	cTOB1C17 
T1050	TFBAA25THC	AC010871	3.0123	cTOB1E1  
T1051	TFBAA28THC	AB010076	5.284	cTOB1E7  
T1052	TFBAA29THC	AC006403	2.138	cTOB1E9  
T1053	TFBAA41THB	AC004809	1.011	cTOB1G9  
T1054	TFBAA51THB	AL050400	4.131	cTOB1I5  
T1055	TFBAA59THB	AC013258	1.1411	cTOB1I21 
T1057	TFBAA65THB	AC008113	1.133	cTOB1K9  
T1062	TFBAA80THB	AC008113	1.133	cTOB1M15 
T1063	TFBAN19TH	AL021636	4.163	cTOB4C14 
T1064	TFBAN25TH	AB016880	5.269	cTOB4E2  
T1065	TFBAN38TH	AB026636	3.041	cTOB4G4  
T1066	TFBAN39TH	AC002335	2.236	cTOB4G6  
T1067	TFBAN43TH	AC073178	1.13515	cTOB4G14 
T1068	TFBAN45TH	AC007019	2.125	cTOB4G18 
T1070	TFBAN53TH	AC013483	3.0121	cTOB4I10 
T1071	TFBAN60TH	AB005243	5.035	cTOB4I24 
T1072	TFBAN61TH	AL133363	3.1149	cTOB4K2  
T1073	TFBAN62TH	AL132959	3.26	cTOB4K4  
T1074	TFBAN69TH	AC021043	1.0616	cTOB4K18 
T1076	TFBAN87TH	AC009755	3.004	cTOB4O6  
T1077	TFBAN94TH	AC005850	1.112	cTOB4O20 
T1078	TFBAT03TH	Z99708	4.186	cTOB5B6  
T1079	TFBAT16TH	AB016884	5.047	cTOB5D8  
T1082	TFBAT44TH	AC007727	1.046	cTOB5H16 
T1084	TFBAT50TH	AB023042	5.239	cTOB5J4  
T1086	TFBAT58TH	AC007584	2.102	cTOB5J20 
T1087	TFBAT68TH	AC006223	2.181	cTOB5L16 
T1088	TFBAT84TH	AB013396	5.244	cTOB5N24 
T1089	TFBAT90TH	AB024028	3.089	cTOB5P12 
T1090	TFBAT96TH	AB024034	3.022	cTOB5P24 
T1091	TFBAU01THC	AC003680	2.244	cTOB6A1  
T1092	TFBAU09THC	AB007647	5.134	cTOB6A17 
T1093	TFBAU10THC	AL078467	4.14	cTOB6A19 
T1094	TFBAU15THC	AL050300	3.118	cTOB6C5  
T1095	TFBAU19THC	AL132968	3.11509	cTOB6C13 
T1096	TFBAU20THC	AB011477	5.12	cTOB6C15 
T1098	TFBAU38THC	AC002333	2.237	cTOB6G3  
T1099	TFBAU45TH	AC006569	2.117	cTOB6G17 
T1103	TFBAU64THC	AC011809	1.0445	cTOB6K7  
T1105	TFBAU85TH	AB017070	5.139	cTOB6O1  
T1106	TFBAU87THB	AB024033	3.018	cTOB6O5  
T1107	TFBAU93TH	AC016162	1.1393	cTOB6O17 
T1109	TFBBA20TH	AL031394	4.172	cTOB7D15 
T1110	TFBBA21TH	Z97341	4.09	cTOB7D17 
T1111	TFBBA33TH	AC002409	2.222	cTOB7F17 
T1112	TFBBA37TH	AC005967	2.137	cTOB7H1  
T1114	TFBBA62TH	AC009853	3.011	cTOB7L3  
T1116	TFBBA75TH	AP000370	3.029	cTOB7N5  
T1117	TFBBA93TH	AC011915	1.1334	cTOB7P17 
T1118	TFBBA94TH	AC000132	1.027	cTOB7P19 
T1119	TFBBA96TH	AB025622	5.209	cTOB7P23 
T1122	TFBBC16TH	Z97341	4.09	cTOB8C7  
T1123	TFBBC29TH	AC006954	2.139	cTOB8E9  
T1124	TFBBC48TH	AB020745	5.176	cTOB8G23 
T1125	TFBBC61TH	AC004512	1.1264	cTOB8K1  
T1128	TFBBD02TH	AB010076	5.284	cTOB8A4  
T1129	TFBBD16TH	AC003000	2.215	cTOB8C8  
T1130	TFBBD17TH	AB006708	5.037	cTOB8C10 
T1131	TFBBD21TH	AC011661	1.035	cTOB8C18 
T1132	TFBBD39TH	AF000657	1.049	cTOB8G6  
T1135	TFBBD57TH	AC007591	1.04	cTOB8I18 
T1136	TFBBE22TH	AC007591	1.04	cTOB8D19 
T1137	TFBBE34TH	AL132963	3.1142	cTOB8F19 
T1139	TFBBE86TH	AL049480	4.132	cTOB8P3  
T1140	TFBBE94TH	AL132962	3.25	cTOB8P19 
T1142	TFBBG13TH	AB026649	3.087	cTOB9C1  
T1143	TFBBG32TH	AC001645	3.037	cTOB9E15 
T1144	TFBBG34TH	AP000600	3.0245	cTOB9E19 
T1146	TFBBG94TH	AL162506	5.0017	cTOB9O19 
T1148	TFBBH27TH	AL021710	4.097	cTOB9E6  
T1150	TFBBH29TH	AB024033	3.018	cTOB9E10 
T1151	TFBBH34TH	AC007138	4.012	cTOB9E20 
T1152	TFBBH50TH	AC011436	3.0131	cTOB9I4  
T1153	TFBBI05TH	AC024261	1.0914	cTOB9B9  
T1155	TFBBI10TH	AB023044	5.196	cTOB9B19 
T1156	TFBBI13TH	AB007647	5.134	cTOB9D1  
T1157	TFBBI25TH	AC004681	2.183	cTOB9F1  
T1158	TFBBI51TH	AB028614	3.1062	cTOB9J5  
T1159	TFBBI81TH	AC007730	2.044	cTOB9N17 
T1160	TFBBJ14TH	AC005309	2.255	cTOB9D4  
T1161	TFBBJ25TH	AC007727	1.046	cTOB9F2  
T1162	TFBBJ35TH	AL021635	4.117	cTOB9F22 
